Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,43.557,0.000,49.472,31.558,71.802,13.063
10.01,150,23.036,0.000,46.907,21.286,88.992,18.498
20.02,150,21.963,0.000,35.746,21.323,64.057,10.225
30.00,150,22.856,0.000,53.114,17.704,120.009,26.080
40.01,150,20.895,0.000,43.722,21.287,85.790,15.176
50.01,150,20.633,0.000,41.914,19.821,86.135,15.779
60.02,150,20.293,0.000,71.153,16.988,190.698,37.350
70.00,150,23.814,0.000,51.422,24.373,103.919,19.914
80.02,150,21.604,0.000,44.257,21.295,87.900,14.347
90.01,150,23.338,0.000,168.214,12.342,496.299,104.362
100.01,150,23.831,0.000,60.450,19.086,150.059,27.634
110.01,150,26.438,0.000,65.438,18.691,158.998,34.222
120.01,150,19.738,0.000,48.891,17.915,107.274,20.979
130.01,150,23.184,0.000,75.260,18.135,191.372,37.576
140.01,150,20.486,0.000,56.878,17.270,134.293,24.325
150.01,150,19.139,0.000,56.931,29.024,113.179,16.939
160.01,150,20.720,0.000,57.245,18.950,129.792,26.624
170.02,150,23.272,0.000,55.066,25.983,110.059,18.783
180.01,150,22.643,0.000,76.645,23.359,177.323,37.002
