Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,42.957,700.598,47.209,30.084,67.680,11.683
10.00,150,28.269,446.287,73.357,14.221,176.942,37.423
20.00,150,22.750,437.181,84.914,14.370,258.127,47.141
30.00,150,23.760,907.363,68.845,13.890,182.743,35.484
40.00,150,19.261,1183.333,57.106,18.303,135.984,25.570
50.00,150,22.408,439.619,68.591,17.385,153.869,30.745
60.00,150,20.735,208.413,66.176,10.634,187.964,33.459
70.00,150,16.835,557.459,52.334,12.531,122.303,25.462
80.00,150,21.104,338.970,61.946,25.294,134.100,23.619
90.00,150,24.468,534.498,110.369,11.134,292.580,61.741
100.00,150,19.849,1006.403,63.334,22.271,139.520,26.009
110.00,150,21.110,743.394,85.764,13.702,208.637,45.873
120.00,150,19.832,432.892,69.260,16.151,163.722,34.765
130.02,150,21.424,396.896,135.896,12.227,388.847,77.057
140.00,150,23.232,652.380,69.636,15.159,177.682,33.751
150.00,150,21.968,681.570,74.341,14.409,227.026,41.152
160.02,150,20.453,773.227,66.462,10.149,165.331,35.027
170.02,150,19.966,288.705,87.237,15.756,235.632,49.209
180.02,150,24.649,979.007,53.668,14.541,123.782,24.226
