Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,42.876,492.493,47.102,29.976,69.057,12.654
10.00,150,19.189,649.653,52.567,16.146,117.501,23.704
20.00,150,19.632,562.146,71.265,22.350,173.260,30.367
30.00,150,21.783,544.999,106.530,13.243,317.640,58.083
40.00,150,23.073,630.332,47.491,15.774,109.013,22.005
50.00,150,20.886,571.691,80.432,14.452,215.822,40.471
60.02,150,20.345,570.306,73.904,13.741,190.865,40.271
70.02,150,20.018,416.661,42.956,19.489,94.802,13.611
80.00,150,18.637,560.697,55.922,23.694,118.556,18.878
90.02,150,22.284,649.755,93.380,11.572,254.853,55.560
100.02,150,20.005,617.133,88.280,12.859,220.871,49.316
110.02,150,17.980,414.338,62.009,15.506,180.888,30.278
120.02,150,20.960,758.917,148.492,15.265,441.672,91.019
130.02,150,22.112,602.754,65.039,18.051,151.286,32.916
140.00,150,21.360,385.567,54.297,20.243,121.256,20.532
150.02,150,20.697,331.773,83.782,16.144,209.105,52.815
160.02,150,23.112,464.373,49.632,17.001,112.061,22.530
170.02,150,28.050,600.968,72.929,13.916,185.368,39.735
180.02,150,22.322,1044.820,49.107,20.124,97.476,19.596
