Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,48.101,530.487,50.960,28.742,76.674,15.041
10.00,150,17.453,554.594,42.739,10.383,91.795,20.427
20.00,150,16.524,390.674,51.077,16.941,123.915,22.775
30.00,150,20.499,600.371,47.972,17.911,107.925,20.023
40.00,150,21.648,617.976,52.473,9.553,133.361,25.843
50.00,150,18.881,777.783,47.594,13.801,131.599,22.936
60.00,150,19.307,317.030,65.279,8.278,219.020,37.257
70.00,150,20.277,432.422,52.209,19.115,123.129,24.161
80.00,150,20.781,997.605,51.141,13.841,128.620,24.351
90.02,150,22.651,790.490,68.207,16.696,151.345,32.036
100.00,150,21.010,657.559,57.276,10.981,142.828,30.101
110.00,150,22.136,794.014,57.851,16.456,136.907,27.709
120.00,150,20.595,1065.737,68.657,9.704,200.748,41.764
130.02,150,21.070,438.739,64.990,11.489,184.836,29.604
140.00,150,16.790,427.734,68.356,13.721,178.031,35.371
150.02,150,17.634,815.459,57.283,16.037,130.879,28.487
160.00,150,21.864,661.406,37.902,13.882,87.851,17.229
170.02,150,17.387,784.378,67.606,19.136,143.451,27.585
180.02,150,23.593,694.665,55.586,14.797,142.040,27.744
