Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,49.124,490.436,50.415,31.770,72.705,13.668
10.01,150,25.476,576.079,68.985,18.137,148.448,33.179
20.02,150,22.889,430.082,77.030,16.271,171.532,39.495
30.02,150,20.612,961.668,88.602,8.277,236.473,47.437
40.00,150,22.248,316.988,72.403,18.056,149.463,36.019
50.00,150,22.274,1173.712,68.436,20.957,147.146,32.976
60.02,150,24.271,718.181,58.499,21.161,124.749,24.471
70.00,150,24.142,368.702,110.227,22.222,255.914,51.093
80.02,150,23.872,580.350,65.053,18.542,150.641,27.592
90.02,150,24.126,786.002,53.032,22.097,120.371,19.198
100.02,150,22.380,645.886,65.331,24.130,148.969,26.276
110.02,150,27.198,503.315,91.718,29.346,209.343,39.394
120.02,150,23.832,430.021,100.243,20.510,239.918,53.171
130.02,150,24.929,317.344,75.009,21.828,182.068,36.439
140.02,150,18.146,643.443,65.786,11.221,185.565,35.225
150.02,150,21.341,241.767,110.879,6.848,296.600,68.893
160.02,150,23.039,336.349,118.101,24.277,283.413,59.141
170.02,150,22.186,389.112,71.681,15.763,174.317,37.191
180.02,150,21.956,295.680,58.749,17.147,143.317,27.321
