Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,41.786,556.098,48.220,27.347,74.075,13.771
10.00,150,25.288,348.780,58.718,15.486,145.907,30.290
20.00,150,22.432,547.493,56.979,15.349,138.624,22.793
30.00,150,25.611,577.143,96.710,16.105,225.295,52.657
40.00,150,23.511,430.998,56.754,18.782,119.926,23.121
50.00,150,25.620,373.790,72.332,26.357,153.926,26.719
60.00,150,22.883,388.171,118.777,34.398,320.593,54.543
70.00,150,24.097,241.247,72.289,24.647,162.515,31.374
80.00,150,19.195,518.866,54.339,14.520,124.411,25.706
90.00,150,20.230,496.611,78.526,17.130,198.318,39.556
100.00,150,25.951,282.913,172.796,9.267,574.009,104.360
110.00,150,22.749,455.300,61.752,16.112,142.969,28.582
120.00,150,22.283,383.376,50.764,20.004,111.698,19.366
130.00,150,21.102,428.334,51.962,15.903,122.169,24.705
140.00,150,20.808,481.016,39.445,21.394,73.120,11.989
150.00,150,18.927,331.024,70.706,14.580,159.510,33.083
160.02,150,21.363,549.200,48.522,22.489,91.202,15.945
170.00,150,19.023,390.332,56.421,16.821,113.965,24.425
180.00,150,26.914,493.341,78.369,16.429,183.416,36.776
