Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.039,471.813,41.050,32.124,51.334,6.157
10.02,150,26.175,789.786,55.818,21.940,108.915,22.784
20.02,150,24.720,707.807,56.684,19.723,121.973,24.866
30.02,150,27.043,870.062,46.159,20.806,99.999,19.651
40.02,150,26.213,602.211,55.133,20.824,104.048,24.387
50.02,150,26.459,767.505,45.688,21.304,86.785,17.829
60.02,150,24.830,711.880,72.485,16.896,173.687,39.141
70.00,150,25.507,561.896,54.216,22.988,112.008,22.242
80.02,150,24.155,461.645,63.393,24.165,132.985,28.532
90.02,150,22.513,485.284,62.391,19.287,137.482,29.827
100.02,150,28.583,688.631,51.823,18.433,110.463,23.996
110.00,150,24.170,863.673,55.310,23.190,114.649,22.845
120.02,150,24.434,386.919,52.089,19.467,119.293,22.358
130.02,150,22.871,790.405,56.436,21.529,123.144,24.993
140.02,150,28.137,366.589,70.679,19.096,174.767,38.635
150.02,150,23.884,1039.390,56.864,20.879,130.212,25.261
160.02,150,23.028,358.912,63.236,23.170,138.082,28.897
170.02,150,23.811,407.625,64.089,20.033,153.138,32.084
180.02,150,26.220,480.530,62.964,18.597,141.992,32.174
