Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.965,428.031,46.788,31.994,63.037,9.957
10.00,150,19.862,598.493,44.270,15.772,95.429,19.279
20.00,150,21.758,418.055,45.576,15.555,120.950,20.647
30.00,150,15.461,1042.010,66.633,7.996,203.630,40.187
40.00,150,22.973,274.876,53.772,21.281,113.644,21.043
50.00,150,18.665,850.010,56.194,19.516,142.784,25.001
60.00,150,19.400,337.867,55.703,16.956,122.852,23.258
70.02,150,19.822,475.451,46.545,18.507,99.843,18.714
80.02,150,20.422,623.856,69.186,19.336,167.067,31.571
90.00,150,26.327,483.890,61.960,17.123,151.621,28.662
100.02,150,16.250,901.688,65.120,9.348,166.917,35.798
110.00,150,21.985,579.243,66.965,14.082,175.629,33.365
120.02,150,20.529,257.163,298.429,3.951,823.276,205.453
130.02,150,17.751,338.248,86.209,10.725,214.859,51.713
140.02,150,22.757,665.061,77.448,9.455,201.573,43.932
150.02,150,21.646,709.975,86.431,12.202,234.487,48.092
160.00,150,20.658,660.309,99.260,22.748,248.420,51.444
170.00,150,18.749,172.052,192.370,4.053,534.194,120.587
180.02,150,18.362,791.939,66.395,14.052,180.599,36.212
