Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,46.201,616.374,44.025,29.359,62.232,9.818
10.02,150,18.934,990.571,49.555,20.327,100.401,19.502
20.00,150,25.839,1126.434,54.100,12.247,132.753,27.759
30.02,150,19.626,374.297,168.913,8.404,474.076,100.974
40.00,150,18.736,1010.228,51.888,10.630,124.048,24.418
50.00,150,24.502,518.476,62.046,11.431,151.340,32.267
60.00,150,17.486,1133.351,47.168,16.507,106.868,20.115
70.02,150,16.366,235.976,61.506,15.248,169.341,29.343
80.02,150,20.558,937.752,91.540,21.238,238.399,47.878
90.00,150,20.080,566.974,84.335,15.921,215.420,51.211
100.02,150,28.752,509.411,50.154,21.562,105.730,19.726
110.00,150,24.723,471.989,55.888,16.845,135.887,26.361
120.02,150,19.289,365.439,73.258,18.541,189.531,35.303
130.00,150,17.393,510.393,71.031,12.535,186.180,38.978
140.02,150,21.629,302.689,62.859,13.645,159.568,32.819
150.02,150,19.180,662.641,54.184,15.843,122.781,26.768
160.02,150,19.101,274.114,57.788,24.371,125.084,21.924
170.02,150,19.980,607.388,98.571,11.844,294.794,56.293
180.00,150,20.896,514.668,71.573,21.040,172.445,31.952
