Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,41.913,548.584,42.210,27.984,57.885,10.500
10.00,140,18.764,551.143,61.018,11.654,144.860,33.945
20.02,135,25.357,408.239,67.905,16.988,178.053,33.920
30.02,123,27.795,737.738,91.338,14.205,241.347,47.969
40.02,123,22.799,422.403,46.367,15.529,101.243,21.767
50.02,112,20.651,478.776,47.674,11.824,107.480,21.886
60.02,95,31.828,617.918,63.838,12.201,174.987,29.187
70.02,78,34.837,422.512,91.006,31.533,226.648,39.043
80.02,72,27.451,517.361,92.889,14.501,247.073,52.257
90.00,71,26.891,434.269,67.360,31.567,148.036,26.041
100.02,70,21.914,537.047,62.704,14.952,155.544,30.080
110.02,66,31.186,938.580,47.486,20.566,97.162,18.076
120.02,61,27.028,439.608,46.852,17.832,99.293,20.712
130.02,60,23.563,352.246,63.209,25.043,139.923,27.836
140.02,59,25.611,390.310,97.491,13.137,286.981,53.526
150.02,52,27.804,333.230,96.331,13.167,281.233,52.576
160.02,49,44.018,676.469,32.901,17.067,58.791,10.643
170.02,39,33.392,758.928,42.620,20.458,70.427,13.806
180.02,34,65.056,660.085,76.080,18.316,181.477,38.004
