Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.496,740.472,50.530,31.834,75.183,13.502
10.00,150,26.077,442.443,42.532,19.483,96.560,18.330
20.00,150,22.297,833.097,50.498,16.890,125.620,24.651
30.03,150,23.343,577.512,58.470,19.102,126.282,24.759
40.00,150,23.176,422.062,61.563,16.827,137.563,29.463
50.00,150,27.815,1131.172,99.280,11.315,273.716,58.803
60.00,150,23.937,379.601,57.829,17.983,136.194,27.393
70.03,150,26.452,550.864,100.064,21.567,224.273,47.184
80.00,150,22.640,368.257,108.451,11.217,281.198,62.452
90.03,150,23.599,484.282,77.765,11.585,179.678,40.013
100.03,150,23.432,320.829,75.708,12.848,207.258,38.198
110.03,150,21.820,376.606,80.225,17.588,200.421,44.994
120.03,150,23.562,619.595,69.883,15.509,169.884,36.668
130.03,150,19.210,533.467,53.183,13.463,124.986,24.927
140.03,150,21.628,701.844,63.526,21.226,128.035,24.617
150.03,150,20.891,880.681,60.434,23.762,123.461,23.401
160.03,150,17.973,900.963,54.255,16.185,123.792,26.117
170.03,150,21.769,871.749,64.261,13.967,157.820,32.024
180.03,150,21.248,404.024,50.699,19.322,116.631,22.546
