Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.477,689.669,46.678,31.684,65.003,11.586
10.00,150,24.893,347.990,72.107,22.141,173.717,32.469
20.00,150,22.463,772.277,72.551,15.069,194.284,37.332
30.00,150,21.303,489.263,61.473,13.907,142.857,29.618
40.00,150,22.962,1085.908,62.892,23.951,134.991,25.709
50.02,150,22.482,390.945,65.482,14.176,158.507,30.928
60.02,150,12.300,816.772,56.731,8.107,158.463,26.645
70.02,150,18.163,347.859,73.638,19.392,213.472,33.823
80.00,150,22.511,465.251,68.875,14.207,158.513,31.495
90.02,150,18.130,481.591,81.421,12.727,215.801,44.934
100.02,150,19.028,1117.504,61.183,11.127,156.536,30.044
110.00,150,22.133,761.892,67.669,10.850,176.497,33.476
120.00,150,22.683,683.150,83.530,12.886,218.717,44.919
130.00,150,21.361,743.315,57.720,12.752,136.072,27.919
140.00,150,21.156,506.401,84.092,12.198,229.180,49.154
150.02,150,25.244,720.227,63.866,18.111,148.865,28.609
160.02,150,18.173,368.334,45.562,14.991,108.272,18.245
170.00,150,16.708,843.159,53.766,12.688,133.692,28.529
180.02,150,22.649,560.231,57.489,16.872,135.575,26.677
