Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,43.059,665.706,43.937,28.909,59.399,10.142
10.00,150,23.901,412.432,52.108,20.067,107.634,19.508
20.02,150,25.010,604.201,57.588,21.256,136.762,23.813
30.02,150,22.978,527.372,104.380,13.270,340.610,54.643
40.02,150,29.832,699.796,92.266,22.005,224.935,39.301
50.02,150,28.526,465.778,80.862,36.638,168.410,26.317
60.02,150,22.929,553.434,85.570,20.233,202.310,47.705
70.02,150,25.086,441.369,65.560,13.804,195.951,33.487
80.02,150,24.962,348.710,96.970,15.622,277.236,52.106
90.02,150,26.562,646.778,65.217,28.612,123.716,21.927
100.02,150,22.313,1113.463,60.348,15.146,151.811,30.992
110.02,150,20.320,819.356,57.118,16.155,140.821,27.741
120.02,150,22.119,1077.880,48.861,18.686,103.803,16.628
130.01,150,23.850,916.034,71.169,22.304,170.021,26.952
140.02,150,26.040,523.830,64.048,34.354,112.549,16.916
150.02,150,27.447,517.212,72.920,21.770,148.793,31.115
160.02,149,17.607,626.806,86.031,7.547,241.665,49.539
170.02,149,26.120,424.608,69.985,14.624,180.045,34.324
180.02,149,20.645,556.731,71.483,13.469,213.034,34.350
