Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.402,788.106,51.552,34.889,73.339,12.290
10.00,150,21.819,813.610,46.876,22.079,95.388,18.329
20.00,150,18.884,464.697,56.900,20.210,130.447,23.674
30.01,150,19.461,386.198,68.023,17.542,194.604,34.054
40.01,150,25.151,832.121,61.764,13.093,148.146,32.037
50.01,150,21.068,432.115,107.828,7.584,304.689,59.907
60.01,150,19.754,553.481,80.646,14.378,216.827,44.116
70.01,150,20.899,434.707,124.978,15.031,369.339,72.411
80.02,150,24.036,493.618,71.918,25.709,176.470,28.337
90.02,150,19.313,446.954,97.428,12.013,291.329,55.923
100.01,150,22.442,366.477,66.810,10.782,161.750,32.150
110.01,150,20.264,382.788,58.677,15.174,144.667,28.413
120.01,150,24.407,606.471,51.014,14.051,112.351,21.884
130.02,150,24.433,521.254,80.618,14.367,202.331,36.782
140.00,150,23.548,741.614,63.589,12.637,139.698,31.050
150.02,150,21.111,291.042,59.372,23.389,125.873,22.529
160.03,150,20.815,422.698,77.991,18.792,197.552,37.014
170.02,148,23.750,919.402,59.680,18.394,136.648,27.850
180.01,148,24.386,552.729,71.192,16.069,155.968,37.332
