Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.629,722.338,44.318,30.243,61.129,10.409
10.02,150,17.579,436.072,40.748,9.955,92.999,22.021
20.00,150,16.310,832.663,64.203,10.496,156.657,37.317
30.02,150,9.440,602.991,47.555,6.013,129.965,30.761
40.00,150,15.357,753.086,56.788,13.061,133.589,30.826
50.02,150,14.186,300.476,68.006,10.335,183.054,41.537
60.02,150,11.922,452.873,61.087,6.676,166.209,38.715
70.02,150,13.416,487.464,35.181,6.722,90.721,21.109
80.02,150,14.548,849.287,64.367,2.721,183.534,41.563
90.02,150,15.981,705.320,102.654,4.730,271.279,64.043
100.02,150,11.313,487.204,54.379,6.522,145.357,35.379
110.02,150,12.971,689.310,55.631,14.170,139.961,30.498
120.02,150,10.482,286.230,55.443,7.658,141.810,31.406
130.02,150,14.899,452.197,61.567,9.224,167.774,38.956
140.02,150,14.035,316.929,75.961,6.740,211.232,45.269
150.02,150,12.309,733.673,45.989,6.187,132.219,28.961
160.02,150,12.006,558.777,55.014,9.914,149.814,32.797
170.02,150,8.870,324.115,53.346,5.931,174.124,34.881
180.01,150,9.513,680.954,58.568,5.704,192.729,41.075
