Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.184,624.071,47.319,29.477,69.423,12.394
10.00,150,19.158,1164.442,55.928,13.793,131.283,26.664
20.00,150,19.773,447.157,73.527,19.643,182.377,35.797
30.00,148,22.700,895.406,66.348,22.143,156.400,30.463
40.00,148,19.472,284.181,78.340,14.035,207.121,41.028
50.00,148,20.791,391.813,62.345,16.157,143.275,28.311
60.02,148,24.662,642.369,92.141,16.687,216.086,47.246
70.00,143,22.431,356.432,68.041,11.967,158.767,34.843
80.00,143,24.456,515.437,66.099,24.493,140.752,28.206
90.02,143,17.563,628.885,51.177,13.020,127.819,25.531
100.00,143,22.467,426.564,60.929,16.755,145.461,29.947
110.02,143,18.902,386.714,48.439,15.496,105.962,22.308
120.02,143,23.468,511.121,47.336,22.203,88.406,16.649
130.02,143,20.999,569.351,58.730,14.998,146.545,27.157
140.00,143,25.363,636.737,48.962,18.434,108.886,19.414
150.02,143,21.542,658.809,81.868,15.779,222.404,41.786
160.02,143,22.343,431.387,58.217,18.667,128.077,25.355
170.02,143,20.985,224.722,83.122,11.966,211.212,44.787
180.02,143,21.142,543.102,45.204,10.836,93.821,21.798
