Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.728,492.998,51.767,30.397,80.807,14.531
10.00,150,19.215,795.524,41.050,17.542,81.123,15.489
20.00,150,22.202,553.050,58.003,15.176,137.589,28.258
30.00,150,18.860,899.380,57.362,9.710,146.672,30.649
40.00,150,22.067,363.446,71.612,12.190,186.612,37.628
50.00,150,19.559,298.069,83.849,12.574,201.827,46.149
60.00,150,17.246,428.576,47.234,18.825,103.999,19.577
70.02,150,26.361,735.756,83.813,26.730,182.338,37.709
80.00,150,24.135,383.801,121.875,10.487,367.208,77.168
90.00,150,20.874,546.668,53.202,13.220,119.469,24.383
100.02,150,23.233,298.081,69.549,20.308,179.291,30.555
110.00,143,22.382,995.171,52.595,17.540,108.945,22.480
120.02,142,20.092,306.208,57.554,15.051,134.399,27.181
130.02,142,19.074,458.594,79.402,10.853,215.510,43.418
140.00,142,22.037,776.102,55.900,16.310,130.360,25.358
150.02,142,23.574,722.977,50.739,16.070,126.237,23.898
160.02,142,26.205,783.565,77.738,16.987,186.576,36.750
170.02,142,19.991,770.717,72.941,9.059,193.104,39.155
180.02,142,20.448,500.513,78.366,7.722,193.073,43.191
