Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,41.653,513.560,46.999,30.716,63.246,10.921
10.00,150,23.556,630.572,57.843,20.258,133.157,26.939
20.00,150,25.435,812.530,59.283,19.040,135.271,31.293
30.02,150,25.430,611.381,46.712,21.953,87.877,18.133
40.00,150,23.302,330.331,59.182,26.374,127.419,21.462
50.02,150,22.957,328.462,54.000,19.930,116.663,25.064
60.02,150,26.125,287.153,56.116,17.814,129.522,27.232
70.02,150,25.557,646.891,69.539,24.995,150.814,31.468
80.00,150,24.877,320.788,60.293,21.584,141.956,29.185
90.00,150,26.918,564.993,67.585,22.880,143.624,30.688
100.02,150,25.751,887.764,60.094,22.668,125.714,27.351
110.02,145,28.338,415.278,54.253,23.102,101.059,22.243
120.02,145,27.407,275.716,66.723,21.383,140.398,33.143
130.02,145,24.821,290.926,61.338,23.655,133.719,26.336
140.00,145,23.084,591.595,60.418,17.926,137.528,30.654
150.02,145,24.941,803.051,60.781,22.931,124.759,25.251
160.02,145,25.919,692.135,51.393,17.656,107.321,23.896
170.02,144,26.065,628.156,55.605,24.841,110.089,23.190
180.02,143,25.386,642.339,48.979,19.019,96.094,19.762
