Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.041,487.429,47.627,32.530,65.527,11.312
10.00,150,21.785,423.989,63.156,18.003,150.470,27.872
20.00,150,23.435,697.983,53.654,15.612,121.515,25.413
30.00,150,25.471,581.128,83.729,17.989,266.084,49.552
40.00,150,20.074,586.828,63.471,11.154,166.968,33.968
50.00,150,21.151,420.813,93.972,7.311,263.937,53.354
60.00,150,25.022,556.519,64.738,23.768,135.966,26.211
70.00,150,19.016,926.823,57.370,19.391,130.416,25.527
80.00,150,19.591,768.443,59.186,15.226,147.439,29.201
90.00,150,14.822,651.341,60.491,7.938,162.053,31.844
100.02,150,18.560,450.401,56.586,18.416,139.978,27.213
110.00,150,20.709,768.105,46.977,19.792,94.012,16.156
120.00,150,22.599,706.736,70.114,18.097,169.925,35.059
130.02,150,18.652,575.759,72.988,20.651,181.534,34.327
140.02,149,21.569,459.112,58.005,12.383,140.604,30.599
150.02,149,20.358,318.715,61.387,20.821,141.584,26.879
160.02,149,26.435,910.530,81.595,15.164,199.944,43.058
170.00,149,19.608,411.798,82.076,12.052,188.099,37.170
180.02,149,21.361,747.616,63.160,15.863,152.023,30.732
