Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.081,604.125,46.132,32.416,63.070,10.245
10.00,144,22.537,544.453,53.791,22.537,109.221,19.912
20.00,124,17.545,698.065,46.506,17.839,101.343,19.924
30.02,119,22.137,434.195,57.504,19.349,127.624,25.548
40.00,116,31.681,496.332,54.788,26.140,105.634,18.491
50.00,113,29.255,654.705,66.776,21.742,143.693,27.878
60.02,110,32.836,246.663,60.431,14.431,132.104,27.213
70.00,107,26.254,616.640,56.052,19.910,120.246,20.949
80.02,104,25.874,547.530,54.312,13.964,130.220,24.940
90.00,94,21.495,892.913,63.509,14.397,161.457,28.255
100.02,92,21.924,687.414,75.544,10.346,206.064,40.630
110.02,88,25.828,275.529,60.286,18.545,143.353,29.496
120.02,81,21.130,294.370,79.129,34.254,161.368,29.123
130.02,75,34.626,453.648,61.541,16.367,140.019,29.893
140.02,69,22.597,751.189,51.163,15.524,110.672,24.813
150.02,67,30.931,519.863,46.511,16.243,109.217,23.306
160.02,66,23.704,680.868,42.241,10.371,86.094,19.226
170.02,64,20.138,698.599,51.140,15.352,119.346,28.153
180.02,57,33.345,414.538,53.954,20.158,109.895,22.587
