Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.096,777.919,47.964,33.456,67.083,10.043
10.02,150,18.156,1037.429,50.694,15.117,110.366,23.358
20.00,150,19.981,359.666,59.278,27.039,116.862,22.135
30.02,150,24.514,501.882,76.813,15.921,174.162,42.631
40.02,150,25.048,619.742,57.021,12.685,136.177,27.224
50.02,150,19.632,877.841,59.141,21.531,138.068,24.113
60.02,150,17.873,836.725,78.833,17.021,190.748,42.641
70.02,150,17.232,301.967,61.000,20.933,148.450,24.645
80.02,150,21.501,788.112,57.708,13.247,131.608,28.137
90.02,150,21.069,344.978,89.109,12.839,269.173,48.286
100.02,150,24.950,414.817,80.328,15.440,227.491,44.424
110.02,150,21.075,757.183,69.949,13.272,164.270,39.295
120.02,150,21.611,489.592,85.960,25.542,238.459,38.380
130.02,150,27.111,1034.938,82.686,22.315,196.357,39.345
140.02,150,16.682,565.407,65.732,12.260,157.036,33.201
150.01,150,17.371,684.065,66.734,17.701,157.349,31.594
160.02,150,20.970,1038.385,63.230,23.247,146.773,27.409
170.02,150,21.631,419.514,100.758,7.043,273.663,58.000
180.02,150,18.328,663.705,47.320,10.141,115.444,23.141
