Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.693,685.779,47.274,32.835,66.066,10.782
10.00,150,27.721,773.783,67.760,21.642,162.335,31.790
20.01,150,24.441,583.941,75.648,19.404,173.254,35.015
30.02,150,24.404,620.440,74.371,19.397,184.576,36.244
40.02,150,25.897,651.086,66.744,20.348,156.263,29.802
50.01,150,25.190,747.681,56.690,21.867,117.244,22.258
60.01,150,25.473,386.294,69.233,20.070,186.451,32.663
70.01,150,27.067,856.205,89.313,16.482,211.034,42.638
80.01,148,28.257,675.060,70.837,20.631,161.921,32.476
90.02,148,28.271,490.233,56.521,22.216,111.122,23.011
100.00,148,24.097,575.140,52.557,20.395,116.212,22.815
110.01,148,24.882,551.279,54.472,18.709,118.161,24.998
120.01,148,27.936,437.275,89.021,25.691,196.063,43.136
130.00,148,23.762,589.507,70.194,17.955,165.935,35.998
140.02,148,26.401,533.825,80.247,25.535,182.258,33.869
150.01,148,27.361,397.197,70.010,16.568,164.103,34.236
160.01,148,29.152,463.088,83.656,16.186,196.614,43.411
170.01,148,24.707,448.333,84.072,17.838,198.382,46.292
180.02,148,26.341,493.685,60.748,24.761,129.505,25.171
