Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.187,577.423,48.479,30.624,69.367,12.812
10.01,141,18.220,457.144,48.031,12.647,106.504,22.890
20.04,132,14.317,526.779,64.483,11.984,138.970,36.375
30.01,130,21.824,456.138,51.016,12.428,115.019,25.299
40.01,130,28.440,403.354,72.141,14.481,195.688,32.361
50.01,130,23.558,893.454,63.132,22.029,138.743,26.509
60.01,113,28.843,554.106,36.977,10.280,83.239,17.050
70.02,111,17.036,248.626,61.139,12.788,139.082,31.256
80.01,108,12.998,311.936,49.695,18.018,137.888,23.028
90.01,108,27.933,702.948,65.870,13.195,176.006,36.067
100.01,108,15.985,424.121,45.239,18.109,99.406,18.752
110.01,103,22.975,410.490,50.763,16.268,116.436,22.251
120.01,91,28.444,621.122,43.339,14.724,97.976,19.182
130.01,90,23.478,528.967,48.175,17.785,104.175,20.643
140.01,84,28.067,381.748,56.289,11.869,151.326,29.730
150.01,84,20.106,345.874,40.653,19.141,85.100,13.155
160.01,84,20.833,614.497,63.252,16.423,143.145,32.766
170.01,81,21.335,598.091,34.903,12.556,72.756,15.340
180.01,78,17.785,431.653,34.176,18.820,61.912,9.899
