Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.037,586.441,47.906,33.494,64.898,10.475
10.02,136,17.439,597.158,41.772,15.076,86.353,17.508
20.00,135,20.196,490.932,67.035,21.630,149.367,30.652
30.02,134,28.166,306.846,66.890,9.039,220.983,37.556
40.02,133,20.400,659.235,71.470,26.578,168.837,31.774
50.02,133,28.412,505.095,65.062,24.645,150.641,28.598
60.00,130,19.524,646.080,73.959,25.806,167.239,32.507
70.00,128,20.756,830.270,68.348,12.349,175.311,38.261
80.02,127,27.118,785.052,54.540,18.808,128.159,24.653
90.02,127,25.329,587.205,55.601,24.278,128.186,21.731
100.02,127,19.637,397.477,63.136,12.176,159.171,34.519
110.02,127,28.829,700.773,63.105,17.482,150.637,30.703
120.02,127,25.295,366.772,52.427,24.069,111.062,20.164
130.02,126,24.209,877.489,68.700,16.215,171.664,38.274
140.02,120,23.630,403.019,56.994,17.997,125.460,29.045
150.02,119,20.391,418.346,49.545,18.076,102.973,23.487
160.02,119,22.343,918.127,60.986,16.661,126.694,25.275
170.02,118,32.614,580.392,61.689,19.788,142.065,27.278
180.02,118,27.148,416.239,64.961,17.022,152.296,31.610
