Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.516,610.899,46.367,30.806,68.587,10.822
10.01,139,18.897,594.245,29.658,7.656,68.409,15.436
20.02,137,18.502,387.505,59.297,9.090,151.677,35.695
30.02,137,14.828,444.439,52.579,14.000,128.208,27.107
40.00,135,21.163,591.827,47.081,13.038,109.498,23.634
50.02,135,15.445,576.020,40.165,15.957,87.698,17.669
60.00,135,20.332,528.361,44.260,10.648,108.559,24.767
70.02,135,18.214,619.263,46.979,9.560,118.006,25.304
80.02,135,15.007,933.383,41.000,11.092,99.031,21.232
90.02,135,16.633,433.296,50.343,6.575,132.319,30.189
100.00,133,17.736,628.498,44.089,8.551,114.294,25.729
110.00,132,19.949,522.056,41.346,14.018,87.220,19.047
120.02,129,19.051,664.153,33.888,8.188,78.797,18.630
130.02,129,15.984,556.798,49.447,12.094,110.982,26.143
140.02,129,14.406,538.441,53.019,10.053,125.742,29.789
150.02,129,16.173,705.554,40.042,10.496,95.549,20.973
160.02,129,17.483,683.516,40.875,13.527,91.740,20.735
170.02,128,18.703,610.042,39.247,12.981,74.682,19.177
180.02,128,17.247,625.572,37.598,14.565,81.066,17.091
