Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.047,606.469,45.524,32.114,63.905,10.490
10.04,136,19.761,490.882,102.619,3.551,301.418,67.710
20.02,126,15.335,720.785,36.764,18.417,73.315,12.797
30.00,126,23.539,525.250,63.781,25.255,136.817,23.833
40.00,126,25.159,845.124,59.972,17.627,128.148,29.218
50.02,125,19.947,583.101,37.788,20.042,79.294,12.657
60.02,120,30.165,546.606,75.858,15.413,201.592,43.390
70.02,119,24.071,464.405,49.658,14.705,111.649,21.071
80.02,118,18.791,580.115,46.884,16.000,114.397,21.869
90.02,117,18.883,595.280,43.496,13.887,87.901,20.204
100.02,113,24.616,812.618,56.193,18.077,122.972,28.719
110.02,113,20.702,561.042,39.337,18.769,73.973,14.786
120.02,112,18.514,470.178,61.795,13.099,152.162,32.725
130.02,106,22.420,778.273,61.657,14.267,139.243,30.936
140.02,106,24.693,598.896,62.228,12.834,146.563,31.422
150.02,106,28.053,664.624,47.285,15.798,101.079,20.614
160.02,104,23.489,432.624,50.902,14.348,112.621,26.190
170.02,81,21.546,421.335,49.941,15.884,103.483,25.035
180.02,80,27.432,694.402,53.038,25.019,95.092,18.841
