Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,43.095,597.641,41.428,27.484,57.167,9.944
10.00,126,18.796,622.842,42.176,19.186,80.150,16.045
20.02,117,25.571,413.740,49.855,16.667,123.604,24.424
30.02,113,22.548,658.253,47.413,22.180,95.035,16.898
40.00,113,25.505,950.542,67.646,13.144,159.883,33.714
50.00,112,26.515,590.901,46.533,17.174,95.090,20.518
60.02,110,20.786,608.547,51.229,24.952,95.556,18.259
70.00,110,24.983,733.988,45.976,18.151,95.538,19.378
80.02,110,22.028,630.037,50.813,15.360,111.688,23.822
90.01,110,19.920,1042.588,61.508,12.586,155.067,34.520
100.02,110,19.562,434.228,71.560,15.125,168.049,36.845
110.02,110,25.108,503.572,61.626,20.798,140.821,28.675
120.02,110,20.262,415.649,49.407,16.776,105.978,20.153
130.00,110,31.671,790.604,57.575,13.226,129.035,27.858
140.00,110,22.157,883.556,60.785,11.332,144.574,29.869
150.00,110,20.312,1198.110,77.312,13.640,186.922,39.764
160.02,110,18.970,912.168,71.944,18.111,168.503,34.593
170.02,110,22.591,808.531,99.097,16.569,284.964,59.589
180.02,110,26.152,310.731,72.608,22.550,169.689,30.528
