Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.462,631.009,44.675,30.381,60.787,10.598
10.02,142,23.899,724.707,59.617,15.364,139.830,28.225
20.02,138,11.983,713.454,38.439,9.627,102.034,19.843
30.02,138,20.745,792.974,67.368,17.454,169.228,34.488
40.02,138,19.693,837.133,57.842,15.518,130.426,28.736
50.02,138,19.825,480.984,45.768,17.709,97.907,16.752
60.02,138,18.930,365.165,76.768,10.892,209.466,46.349
70.02,138,23.095,457.420,70.356,18.309,163.137,30.736
80.02,137,24.574,285.871,58.573,24.834,131.465,19.993
90.02,137,22.860,470.473,97.414,11.212,284.371,53.557
100.02,137,23.861,1006.243,91.356,15.159,223.208,50.425
110.02,137,26.014,619.123,60.596,11.316,158.680,31.306
120.02,137,22.152,593.533,49.785,14.703,111.002,22.183
130.02,137,23.734,637.550,65.020,16.251,145.506,29.275
140.02,137,23.101,442.388,64.560,17.938,167.123,33.276
150.00,137,23.874,422.827,48.611,16.141,110.439,21.794
160.02,137,27.557,586.834,83.919,11.680,241.491,49.768
170.02,135,22.246,392.050,45.760,24.261,90.351,12.350
180.02,135,22.643,729.756,70.899,14.370,185.581,35.536
