Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.734,603.111,48.480,28.942,75.077,13.481
10.01,147,23.728,730.836,52.330,22.045,106.969,20.859
20.00,121,28.760,710.608,57.545,18.600,122.222,27.553
30.02,92,23.788,763.478,52.243,16.618,122.052,25.546
40.02,92,31.077,431.818,52.717,22.952,108.514,20.462
50.02,89,24.910,636.016,48.454,22.439,90.451,19.053
60.02,89,25.891,737.790,65.286,18.970,152.630,32.425
70.02,89,29.150,379.449,54.934,18.823,114.429,23.804
80.02,84,38.714,620.775,41.835,24.754,70.577,11.405
90.02,80,38.779,571.452,45.930,22.014,86.035,18.038
100.02,74,35.021,475.736,52.773,18.484,109.665,24.659
110.02,60,39.316,590.412,37.303,18.601,67.117,12.770
120.02,58,29.853,518.443,52.804,22.090,98.955,22.051
130.02,55,44.700,723.450,50.088,17.162,107.261,23.895
140.02,50,47.279,661.671,41.238,17.248,90.497,17.692
150.02,47,29.353,660.889,38.581,20.847,71.437,13.335
160.02,47,38.493,688.742,50.826,27.406,89.080,16.033
170.02,42,40.566,739.160,44.447,25.419,76.231,15.307
180.02,42,48.671,676.969,39.853,23.886,65.160,11.670
