Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,46.303,584.920,46.030,30.121,64.466,11.009
10.02,135,23.830,505.080,64.765,16.409,174.311,36.043
20.02,133,25.315,588.328,53.146,18.614,110.598,24.363
30.02,133,24.006,511.203,45.286,19.166,92.242,19.128
40.02,132,25.595,985.465,51.882,29.969,99.964,14.756
50.02,132,22.774,822.496,62.694,17.494,147.432,29.434
60.02,132,23.698,441.907,59.750,15.648,141.529,29.060
70.00,132,26.404,1073.072,78.811,18.489,186.410,44.146
80.00,132,26.474,391.357,96.505,14.753,269.448,55.183
90.02,132,24.345,945.146,64.051,24.001,126.875,25.937
100.02,130,24.408,627.558,55.149,16.582,131.433,27.665
110.02,130,24.638,569.146,56.892,19.263,118.135,25.100
120.02,130,24.537,711.266,62.703,19.173,143.026,30.424
130.00,127,24.161,641.086,48.162,19.477,103.424,21.111
140.02,127,23.607,492.893,75.513,15.125,190.074,42.451
150.02,126,20.281,549.147,49.035,23.409,103.956,17.868
160.02,119,24.242,730.756,45.298,19.282,88.725,17.968
170.02,118,27.208,762.997,70.438,18.563,167.732,33.765
180.01,116,24.975,318.932,78.394,30.055,182.409,31.728
