Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.456,609.104,47.507,30.049,67.504,11.843
10.00,116,4.808,583.506,22.165,4.451,59.804,13.949
20.02,112,7.509,212.971,23.600,1.205,67.333,17.248
30.02,105,12.950,483.193,21.815,6.927,43.060,10.309
40.02,94,4.010,471.564,17.570,4.330,36.701,9.944
50.02,94,3.773,403.106,8.142,1.081,22.367,6.515
60.02,90,15.926,447.506,14.177,0.307,36.252,8.839
70.02,78,6.273,600.976,13.409,0.915,35.737,7.913
80.02,77,19.656,241.004,20.964,0.291,73.378,19.327
90.02,76,20.181,511.635,11.472,4.838,42.287,9.474
100.02,76,15.337,472.352,7.899,0.450,24.097,5.165
110.02,76,8.459,611.956,4.170,0.110,16.375,3.806
120.02,76,11.928,768.582,10.223,0.454,38.115,9.316
130.02,76,4.361,337.268,6.938,0.437,18.540,4.704
140.02,76,7.988,524.074,5.862,3.044,18.246,3.697
150.02,76,9.866,456.301,16.424,1.257,43.707,13.045
160.02,70,6.826,315.513,20.718,0.394,56.770,17.808
170.02,66,20.956,618.137,15.528,2.599,34.690,10.174
180.02,66,24.038,702.014,16.305,0.283,40.416,10.365
