Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.540,613.698,44.790,30.189,60.091,10.303
10.00,138,13.532,537.276,36.760,13.878,82.541,15.177
20.00,137,24.311,432.663,55.022,27.076,100.263,14.583
30.00,136,17.252,594.674,44.771,18.168,95.228,19.063
40.00,123,12.861,655.846,38.271,8.866,95.563,21.200
50.00,104,21.517,558.570,47.628,7.335,115.186,26.095
60.00,94,21.503,537.810,35.814,12.596,68.688,14.669
70.00,87,23.264,631.479,36.110,19.947,61.701,11.445
80.00,87,23.146,674.259,36.964,9.042,83.795,20.716
90.00,86,21.721,657.902,38.734,7.585,78.143,19.863
100.02,85,22.628,609.139,58.085,13.210,130.532,31.664
110.00,80,25.884,771.332,45.816,16.341,102.495,19.602
120.00,78,25.986,811.280,48.156,28.189,86.471,12.458
130.02,77,17.912,417.367,32.507,11.912,66.828,15.554
140.02,58,24.315,607.482,29.232,12.925,53.954,11.494
150.00,56,35.770,771.388,34.948,15.639,60.362,13.108
160.00,54,30.285,499.552,28.465,11.156,65.238,12.661
170.02,50,42.343,603.559,46.944,28.703,74.326,13.396
180.02,46,43.666,599.860,35.142,11.889,68.416,15.809
