Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,42.987,571.314,48.343,25.151,75.471,16.388
10.00,136,15.926,495.043,33.006,9.307,70.875,16.216
20.00,97,29.754,588.699,64.356,7.459,184.364,39.478
30.00,86,27.158,658.736,34.336,14.860,65.354,14.275
40.00,79,25.302,556.593,27.255,10.345,55.370,11.937
50.00,66,23.621,572.941,23.702,5.927,65.516,12.784
60.00,48,29.144,606.706,26.595,13.828,44.438,8.477
70.00,43,30.882,625.449,29.525,17.552,55.408,9.383
80.00,41,29.131,538.387,30.750,12.257,60.651,12.308
90.00,39,34.939,345.073,27.856,12.933,48.648,10.794
100.00,38,47.632,434.865,31.342,7.295,81.925,17.088
110.02,38,39.720,350.141,53.147,13.813,124.247,28.641
120.02,38,39.132,616.472,34.198,21.358,56.775,9.748
130.00,38,41.614,585.372,42.512,20.633,67.969,14.865
140.00,37,46.851,612.094,42.287,20.043,83.230,14.671
150.02,37,43.369,585.865,29.755,22.806,38.563,5.197
160.00,35,32.269,574.792,36.885,15.600,67.559,16.717
170.00,35,74.030,469.046,56.659,10.360,147.877,29.996
180.02,35,42.242,548.879,35.470,18.240,70.282,12.297
