Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,48.711,599.225,41.814,29.162,56.184,9.863
10.00,141,17.381,599.323,40.027,17.820,84.045,15.987
20.00,113,21.304,613.742,44.130,12.665,98.537,22.133
30.00,102,21.211,661.196,37.729,11.709,82.767,18.420
40.00,94,19.162,645.157,56.051,18.162,124.746,27.016
50.00,89,28.786,603.991,38.920,11.531,86.520,18.053
60.00,85,21.490,495.223,49.946,14.995,112.799,24.046
70.00,75,32.813,648.505,38.060,19.986,70.136,13.281
80.00,68,40.984,603.946,47.553,19.953,95.056,19.352
90.00,59,24.166,500.382,38.520,16.878,69.309,14.025
100.00,56,31.883,711.493,36.810,20.293,60.540,11.842
110.00,54,30.784,548.352,58.505,21.977,119.574,24.586
120.00,52,46.559,580.005,67.684,9.979,160.939,35.489
130.02,48,30.023,554.692,39.340,18.279,68.302,16.221
140.00,46,41.015,350.204,37.581,11.997,80.538,18.665
150.00,43,45.740,506.178,47.631,23.806,84.303,18.429
160.00,41,52.180,559.812,36.826,12.737,71.126,16.505
170.02,30,58.098,798.584,45.211,33.887,62.896,8.043
180.00,28,52.337,756.722,35.710,16.948,54.374,12.148
