Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.104,563.632,48.117,28.880,69.749,14.762
10.02,143,17.222,566.090,56.247,15.592,132.339,29.340
20.02,126,20.388,574.413,38.383,12.953,83.947,17.373
30.02,117,20.972,736.692,35.003,10.174,72.942,16.151
40.02,113,10.451,407.101,32.299,5.873,79.622,18.305
50.00,95,26.564,633.655,39.678,22.964,74.842,12.716
60.02,92,21.106,659.318,45.631,12.124,98.197,24.036
70.02,91,19.260,630.671,32.032,8.578,75.423,15.324
80.02,90,23.105,557.556,46.080,11.181,108.713,22.739
90.02,88,20.644,457.761,42.275,13.671,92.443,19.548
100.02,88,20.726,649.622,45.073,15.850,85.254,18.713
110.02,84,28.289,615.832,35.477,11.525,75.435,16.397
120.02,82,20.282,750.858,32.205,13.736,68.335,14.844
130.02,65,39.511,696.755,34.206,12.828,66.346,14.308
140.02,55,41.452,754.812,57.730,12.585,144.799,32.170
150.02,55,35.135,671.013,38.787,11.905,101.861,21.725
160.02,48,46.153,591.976,35.168,15.518,61.606,13.992
170.02,40,58.052,548.899,37.664,21.372,65.723,11.927
180.02,39,37.733,876.366,40.714,20.235,77.542,15.051
