Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.617,603.279,48.001,29.613,70.173,12.583
10.02,142,20.742,498.948,65.447,15.674,159.326,39.857
20.02,136,22.711,573.362,41.197,15.031,85.406,16.922
30.02,131,14.937,535.814,42.372,14.322,99.636,20.196
40.00,98,21.860,592.409,56.961,7.475,139.593,31.819
50.00,68,17.806,631.466,30.631,14.665,58.966,11.780
60.00,67,28.985,738.124,40.855,22.569,74.759,12.813
70.02,60,37.169,578.522,41.620,17.444,85.509,16.844
80.02,59,27.771,559.698,39.735,22.838,71.906,11.908
90.02,59,20.731,654.483,33.962,17.363,57.347,11.142
100.02,58,34.315,729.277,42.083,24.868,71.059,13.066
110.02,40,55.376,651.635,26.765,17.830,39.940,5.805
120.02,39,46.074,638.722,34.570,22.186,53.854,7.942
130.02,39,38.283,589.312,44.122,14.487,97.294,20.685
140.02,32,47.594,512.268,32.306,17.242,54.157,11.671
150.02,21,109.967,563.007,26.710,16.557,37.923,7.217
160.02,17,80.083,582.458,25.454,19.509,33.455,3.656
170.02,17,115.325,626.050,32.461,10.249,56.994,14.011
180.02,17,79.804,548.664,25.786,14.709,45.601,8.195
