Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,46.311,562.679,51.029,29.346,75.601,14.257
10.02,134,16.990,634.537,36.280,12.863,79.854,16.584
20.02,134,18.648,562.097,44.154,10.731,100.457,22.008
30.02,124,16.659,512.031,51.931,13.469,117.928,27.043
40.02,113,18.134,666.089,38.715,16.291,73.604,14.793
50.02,109,25.746,599.763,49.585,23.206,94.066,19.672
60.02,107,30.038,480.020,60.759,12.762,139.603,33.373
70.02,106,21.352,738.570,38.238,15.922,78.250,14.643
80.02,102,23.585,685.416,33.931,11.348,75.488,15.282
90.02,96,28.055,825.982,35.183,11.551,73.677,15.665
100.02,96,24.975,533.432,54.972,12.181,144.033,32.553
110.02,87,26.162,645.324,36.541,18.205,68.585,13.000
120.02,78,28.843,665.241,52.702,19.575,104.976,22.769
130.02,71,20.805,645.457,34.672,13.590,71.766,14.146
140.02,60,43.648,631.064,40.612,19.646,70.476,14.854
150.02,60,36.328,440.217,41.216,15.701,77.652,17.800
160.02,60,35.619,529.549,38.071,12.321,80.935,17.328
170.02,58,23.183,592.173,49.262,14.376,115.599,24.853
180.01,57,31.505,651.433,36.555,15.229,71.399,13.255
