Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,50.032,593.828,49.013,30.196,72.925,13.394
10.00,135,26.197,725.368,60.613,11.840,142.084,34.159
20.02,130,27.354,607.015,45.254,14.777,100.321,21.568
30.02,124,26.983,660.649,53.521,20.956,105.204,22.285
40.02,116,26.069,495.775,50.150,10.955,125.382,28.585
50.02,97,24.468,664.772,47.816,11.201,97.657,19.787
60.02,96,26.379,628.739,41.847,20.784,80.350,15.371
70.02,76,24.627,792.413,35.607,13.155,69.076,13.211
80.02,61,40.629,466.141,52.086,18.170,111.890,23.614
90.02,59,36.117,534.600,55.906,16.733,135.742,28.639
100.02,56,31.958,461.893,45.438,22.392,86.956,15.774
110.02,53,32.026,634.279,37.870,23.805,62.445,10.513
120.02,51,26.301,665.795,28.735,16.321,49.953,9.113
130.02,41,40.588,632.702,33.241,15.360,62.740,11.689
140.02,38,42.118,572.574,37.833,26.135,56.606,10.014
150.02,29,60.047,463.943,38.844,18.869,69.986,13.580
160.02,24,53.735,730.179,33.384,25.788,45.256,6.801
170.02,18,55.225,612.769,35.205,27.896,44.193,6.033
180.02,16,81.856,626.052,34.472,25.983,43.201,6.652
