Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.758,560.426,49.571,30.653,70.966,12.305
10.00,127,9.604,600.769,16.270,1.601,38.650,10.723
20.00,120,9.752,717.960,18.180,1.420,43.930,13.403
30.00,116,9.209,592.358,12.555,1.117,32.981,8.423
40.00,105,3.462,503.140,13.929,6.890,28.684,5.418
50.00,104,10.849,704.277,21.175,1.561,60.160,16.823
60.00,102,6.878,616.003,15.370,8.179,25.760,4.925
70.00,92,18.486,546.847,20.542,0.921,59.597,15.567
80.00,78,14.778,466.011,23.239,3.340,64.519,15.936
90.00,57,25.796,739.788,14.111,0.259,41.128,11.252
100.02,57,33.874,635.135,4.299,0.500,14.470,2.777
110.02,56,11.820,621.813,19.648,17.824,22.566,1.275
120.02,56,24.859,687.696,36.610,1.960,94.525,24.762
130.02,55,15.854,510.583,27.370,3.193,57.777,18.866
140.02,54,12.277,539.471,22.275,0.328,61.035,17.145
150.00,54,17.209,749.313,11.390,0.139,33.468,9.212
160.02,53,16.604,574.971,11.356,0.097,60.886,15.784
170.02,42,24.595,735.609,16.549,0.236,46.676,11.634
180.02,34,30.763,728.822,32.301,26.253,54.456,6.138
