Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,43.386,610.442,47.196,25.672,69.923,14.844
10.00,139,17.432,639.136,41.027,12.362,88.800,18.813
20.00,117,21.078,636.550,43.162,11.829,102.395,22.016
30.00,107,22.138,628.178,58.863,12.141,139.000,32.876
40.00,95,25.089,515.072,49.027,21.213,104.167,19.436
50.00,88,20.607,758.942,34.918,12.334,71.074,16.395
60.00,86,29.680,551.674,49.964,11.652,126.244,28.462
70.00,86,25.901,560.090,39.337,16.810,74.508,15.138
80.00,83,28.686,580.035,39.192,18.381,70.158,15.655
90.02,80,21.760,650.731,35.905,21.447,67.065,10.911
100.00,71,27.378,638.343,31.577,19.268,49.267,8.261
110.00,65,35.010,662.386,43.958,17.007,85.098,19.655
120.00,60,29.621,665.027,36.249,15.432,71.957,14.529
130.00,53,30.892,631.721,40.225,17.677,74.938,17.320
140.00,52,44.800,655.750,39.256,16.587,80.776,15.539
150.02,51,39.250,557.954,50.785,18.922,99.170,22.333
160.00,50,41.425,580.840,41.381,17.583,84.543,17.747
170.00,49,24.871,546.289,46.240,18.608,79.977,19.033
180.02,44,36.967,588.307,28.378,11.884,52.430,10.900
