Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.233,579.786,47.460,31.155,66.381,11.717
10.02,145,18.993,663.694,44.079,14.651,101.378,21.287
20.02,117,19.389,581.280,36.824,16.515,75.418,14.509
30.02,113,23.035,631.155,58.677,14.026,137.820,31.459
40.02,108,20.602,601.001,42.652,9.056,107.353,23.331
50.02,85,25.094,511.266,31.723,11.127,72.845,14.688
60.02,76,27.358,529.366,38.742,16.932,72.878,15.156
70.02,73,32.638,534.510,40.621,10.479,107.174,22.258
80.02,58,30.056,652.415,26.409,7.512,53.722,12.754
90.02,56,19.978,694.474,28.779,10.687,60.309,13.390
100.02,54,34.728,543.098,38.271,11.845,82.460,17.494
110.02,51,38.015,762.483,27.609,13.885,44.357,9.546
120.02,37,23.848,578.131,45.632,13.653,85.325,20.723
130.02,33,58.545,453.951,31.550,18.272,59.919,9.120
140.02,31,69.953,647.769,28.302,20.298,40.357,6.450
150.02,24,67.928,636.870,18.682,7.874,30.043,7.886
160.02,23,34.886,391.060,30.625,16.084,47.881,9.421
170.02,20,52.925,474.097,57.776,10.961,135.948,35.295
180.02,19,113.506,509.596,26.788,19.712,36.094,6.599
