Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,46.542,570.671,49.186,31.798,67.711,11.818
10.00,135,27.155,597.718,61.683,22.632,125.615,28.298
20.00,116,25.867,535.806,50.782,20.101,106.213,21.840
30.00,85,31.150,623.264,37.480,18.451,70.983,15.209
40.00,70,36.763,753.049,48.750,22.227,93.017,19.732
50.00,64,37.522,732.791,57.963,24.018,109.252,24.928
60.00,56,41.447,631.569,37.951,18.746,66.989,14.484
70.00,46,40.803,701.204,60.846,16.466,129.355,31.766
80.00,41,54.312,564.504,42.836,24.398,71.340,14.852
90.00,39,46.824,587.781,38.305,20.578,60.479,13.866
100.00,34,78.072,575.555,36.733,24.406,56.842,10.254
110.00,30,76.207,655.931,37.494,23.745,61.173,11.632
120.00,21,72.564,545.133,30.710,15.154,56.149,12.557
130.00,18,79.885,534.791,42.527,23.764,68.311,16.015
140.00,18,140.602,649.455,43.986,22.368,76.873,15.782
150.00,18,97.807,604.626,40.909,27.115,55.254,10.129
160.00,17,122.478,698.781,32.101,27.382,39.871,5.536
170.00,15,132.611,575.990,42.293,30.169,59.744,12.704
180.00,13,172.321,681.054,31.917,23.383,47.608,11.110
